"||",విషయసూచిక,"||"
S.No,Title,Page No
1,దేవుని వద్ద కొబ్బరికాయను కొట్టేది ఎందుకు ?,33 
2,విష్ణుసహస్ర నామం చదవటానికి ముందు రుద్ర శాప విమోచనం చదవాలా ?,34 
3,వ్యాసమహర్షి సూక్తి,34 
4,గుడిలో ఎందుకు ప్రదక్షిణలు చేస్తారు?,34 
5,భృగుమహర్షి సూక్తి,35 
6,అరిషడ్వర్గములు అను దుర్గుణములు మానవుడ్ని ఏ స్థితికి తీసుకువస్తాయి?,35
7,ఏ గుడికి ఏ ఏ వేళల్లో వెళితే ఎంత పుణ్యం?,36 
8,కరుఋషి సూక్తి,36 
9,ధైర్యం సుఖాలకు మూలమా ?,37
10,దరిద్రుడితో స్నేహం చేస్తే ఆ దరిద్రం మనకంటుకుంటుందా?,37  
11,శ్రీశుకుడు సూక్తి,38
12,వినాయకుడి పూజలో తులసి ఎందుకు నిషిద్ధము?,38  
13,మండూక ఋషి సూక్తి,39 
14,వెల్లుల్లి రక్తాన్ని గడ్డ కట్టించకుండా కాపాడుతుందా ?,39 
15,గుడికి వెళ్ళేటప్పుడు తలస్నానం చేసి వెళితే మరింత శుభమా?,39  
16,తైత్తిరేయులు సూక్తి,40
17,'జననీ జన్మ భూమిశ్చ స్వర్గాదపీ గరీయసీ' అన్నదెవరు?,40  
18,జైమిని సూక్తి,41 
19,పుణ్యానికి పోతే పాపం ఎదురయిందని ఎందుకంటారు?,41 
20,వశిష్ఠ మహర్షి సూక్తి,42 
21,రథసప్తమి రోజు జిల్లేడు ఆకుపై రేగిపండు పెట్టుకుని స్నానం చేసేదెందుకు ?,42 
22,గుడిలో షడగోప్యం (శఠగోపనం) తలమీద పెట్టడం ద్వారా ఏం ఫలితం వస్తుంది ?,43  
23,గుడిలో దర్శనం అయ్యాక కూర్చునేదెందుకు?,44 
24,దాల్బ్యుదు సూక్తి,45
25,వటపత్ర శాయి అనగా?,46 
26,"అసలు స్నానం ఎలా చెయ్యాలి?,అసలు స్నానాలు ఎన్ని" ?,46
27,మనువు సూక్తి,47  
28,పుష్కర స్నాన మహిమ,47 
29,అంబరీషుడు సూక్తి,48
30,చంటి పిల్లల్ని కాళ్ళ మీద పడుకోబెట్టుకుని స్నానం చేయించేదెందుకు?,48 
31,ఉద్దాలక మహర్షి సూక్తి,49 
32,ఏ ప్రదేశాల్లో జపం చేస్తే ఎంత ఫలితము ఉంటుంది ?,49 
33,మసాలా దినుసులు ఎంత మంచివి?,50 
34,యాస్క మహర్షి సూక్తి,50 
35,ముక్కోటినాడు ఉత్తర ద్వార దర్శనం ఎందుకు ?,51 
36,దేవాలయంలోకి వెళ్ళే ముందు కాళ్ళు ఎందుకు కడుక్కోవాలి ?,51 
37,స్నానం ఎంత సేపు చెయ్యాలి?,52 
38,స్త్రీ కామాన్ని సంపూర్ణంగా తీర్చలేదా పురుషుడు ?,54 
39,శాకాటాయన ఋషి సూక్తి,54 
40,తిరుమల శ్రీవారి హస్తాలు అలా ఎందుకుంటాయి ?,54 
41,సాలగ్రామములు ఎంతటి శక్తివంతమైనవి?,55 
42,గాలవముని సూక్తి,56 
43,"ఆలయాల్లో రావిచెట్టు, వేపచెట్టు ఎందుకుంటాయి" ?,56 
44,జమదగ్ని సూక్తి,57 
45,వాస్తు శాస్త్రం ఎప్పట్నించి పాటిస్తున్నారు ?,57 
46,బిల్వ వృక్షం ఎక్కడ పుట్టింది ?,58 
